id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2509713104,https://www.vivareal.com.br/imovel/apartamento-2-quartos-praia-dos-ingleses-bairros-florianopolis-com-garagem-63m2-aluguel-RS2800-id-2509713104/,"Apartamento com 2 Quartos para Aluguel, 63m²","Rua das Gaivotas - Praia dos Ingleses, Florianópolis - SC",63,2 Quartos,2 Banheiros,1 Vaga,"Mobiliado
Elevador
Piscina
Churrasqueira
Salão de festas",R$ 2.800 /mês,R$ 1.000,Florianópolis,2021-05-24 01:53
2504851400,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-florianopolis-29m2-aluguel-RS800-id-2504851400/,"Apartamento com Quarto para Aluguel, 29m²","Rua Felipe Schmidt, 735 - Centro, Florianópolis - SC",29,1 Quarto,1 Banheiro,-- Vaga,Condomínio fechado,R$ 800 /mês,R$ 416,Florianópolis,2021-05-24 01:53
2520361403,https://www.vivareal.com.br/imovel/apartamento-3-quartos-trindade-bairros-florianopolis-com-garagem-104m2-aluguel-RS1850-id-2520361403/,"Apartamento com 3 Quartos para Aluguel, 104m²","Rua Lauro Linhares - Trindade, Florianópolis - SC",104,3 Quartos,2 Banheiros,1 Vaga,,R$ 1.850 /mês,R$ 520,Florianópolis,2021-05-24 01:53
2513170439,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-florianopolis-46m2-aluguel-RS1600-id-2513170439/,"Apartamento com Quarto para Aluguel, 46m²","Rua Felipe Schmidt, 1102 - Centro, Florianópolis - SC",46,1 Quarto,1 Banheiro,-- Vaga,Salão de festas,R$ 1.600 /mês,R$ 1.020,Florianópolis,2021-05-24 01:53
2513544978,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-florianopolis-com-garagem-46m2-aluguel-RS1400-id-2513544978/,"Apartamento com Quarto para Aluguel, 46m²","Rua General Bittencourt, 127 - Centro, Florianópolis - SC",46,1 Quarto,1 Banheiro,1 Vaga,"Mobiliado
Garagem",R$ 1.400 /mês,R$ 415,Florianópolis,2021-05-24 01:53
2518099311,https://www.vivareal.com.br/imovel/apartamento-2-quartos-carvoeira-bairros-florianopolis-com-garagem-57m2-aluguel-RS1550-id-2518099311/,"Apartamento com 2 Quartos para Aluguel, 57m²","Avenida César Seara - Carvoeira, Florianópolis - SC",57,2 Quartos,1 Banheiro,1 Vaga,Piscina,R$ 1.550 /mês,R$ 431,Florianópolis,2021-05-24 01:53
2519978391,https://www.vivareal.com.br/imovel/apartamento-1-quartos-trindade-bairros-florianopolis-com-garagem-35m2-aluguel-RS1850-id-2519978391/,"Apartamento com Quarto para Aluguel, 35m²","Rua Professor José Brasilicio de Souza - Trindade, Florianópolis - SC",35,1 Quarto,1 Banheiro,1 Vaga,,R$ 1.850 /mês,R$ 260,Florianópolis,2021-05-24 01:53
2517745818,https://www.vivareal.com.br/imovel/apartamento-2-quartos-trindade-bairros-florianopolis-com-garagem-70m2-aluguel-RS2000-id-2517745818/,"Apartamento com 2 Quartos para Aluguel, 70m²","Rua Presidente Gama Rosa - Trindade, Florianópolis - SC",70,2 Quartos,1 Banheiro,1 Vaga,Elevador,R$ 2.000 /mês,R$ 378,Florianópolis,2021-05-24 01:53
90470085,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-82m2-aluguel-RS700-id-90470085/,"Apartamento com 3 Quartos para Aluguel, 82m²","Ingleses do Rio Vermelho, Florianópolis - SC",82,3 Quartos,2 Banheiros,1 Vaga,,R$ 700 /dia,,Florianópolis,2021-05-24 01:53
2512625841,https://www.vivareal.com.br/imovel/apartamento-1-quartos-canasvieiras-bairros-florianopolis-com-garagem-60m2-aluguel-RS250-id-2512625841/,"Apartamento com Quarto para Aluguel, 60m²","Canasvieiras, Florianópolis - SC",60,1 Quarto,1 Banheiro,1 Vaga,,R$ 250 /dia,,Florianópolis,2021-05-24 01:53
